Id,Name,Country,ContinuousHeightsAvailable,Footnote
0322,Hirta (Bagh A' Bhaile),Scotland,True,
0324,Rockall,Scotland,True,ML inferred
0014B,Cargreen,England,True,
0014,PLYMOUTH (DEVONPORT),England,True,
0011,Looe,England,True,
0008,FOWEY,England,True,
0007,Mevagissey,England,True,
0005A,Truro,England,False,Dries out except for river water
0005,FALMOUTH,England,True,
0004A,Helford River (Entrance),England,True,
0004,Coverack,England,True,
0003,Lizard Point,England,True,
0002A,Porthleven,England,True,
0002,PENZANCE (NEWLYN),England,True,
0001,ST. MARY'S,England,True,
0007A,Par,England,True,
0008A,Lostwithiel,England,False,Dries out except for river water
0012,Whitsand Bay,England,True,
0014A,Saltash,England,True,
0014C,Cotehele Quay,England,True,
0014D,Lopwell,England,False,Dries out except for river water
0014E,Jupiter Point,England,True,
0014F,St. Germans,England,True,
0015,Turnchapel,England,True,
0015A,Bovisand Pier,England,True,
0017,River Yealm Entrance,England,True,
0020,Salcombe,England,True,
0021,Start Point,England,True,
0023,DARTMOUTH,England,True,
0023A,Greenway Quay,England,True,
0023B,Stoke Gabriel (Duncannon),England,True,
0023C,Totnes,England,True,Dries out except for river water
0025,TORQUAY,England,True,
0026,Teignmouth (Approaches),England,True,
0026A,Teignmouth (New Quay),England,True,
0026B,Exmouth (Approaches),England,True,
0027,Exmouth Dock,England,True,
0027A,Starcross,England,True,
0027B,Turf Lock,England,False,MLWS - The tide does not normally fall below this level
0027C,Topsham,England,False,
0028,Lyme Regis,England,True,
0029,Bridport (West Bay),England,True,
0030,Chesil Beach,England,True,
0031,Chesil Cove,England,True,
0033,PORTLAND,England,True,
0034,Lulworth Cove,England,True,ML inferred
0034A,Mupe Bay,England,True,
0035,Swanage,England,True,
0036,Poole (Entrance),England,True,
0036A,POOLE HARBOUR,England,True,
0036B,Pottery Pier,England,True,
0036C,Wareham (River Frome),England,True,Dries out except for river water
0036D,Cleavel Point,England,True,
0037,Bournemouth,England,True,
0038,Christchurch (Entrance),England,True,
0038A,Christchurch (Quay),England,True,
0038B,Christchurch (Tuckton),England,True,Dries out except for river water
0039,Hurst Point,England,True,
0040,LYMINGTON,England,True,
0042,Bucklers Hard,England,True,
0043,Stansore Point,England,True,
0045,Yarmouth,England,True,
0046,Totland Bay,England,True,
0048,Freshwater Bay,England,True,
0051,Ventnor,England,True,
0053,Sandown,England,True,
0053A,Foreland (Lifeboat Slip),England,True,
0053B,Bembridge Approaches,England,True,ML inferred
0054,Bembridge Harbour,England,True,
0058,Ryde,England,True,
0060,COWES,England,True,
0060A,Folly Inn,England,True,
0060B,Newport (Isle Of Wight),England,False,
0061,Calshot Castle,England,True,
0062,SOUTHAMPTON,England,True,
0063,Redbridge,England,True,
0063A,WARSASH,England,True,
0063B,Bursledon,England,True,
0064,Lee-On-The-Solent,England,True,
0065,PORTSMOUTH,England,True,
0065A,PORTSMOUTH (HIGH WATER STAND),England,True,
0066,Langstone Harbour,England,True,
0068,CHICHESTER HARBOUR (ENTRANCE),England,True,
0068A,Northney,England,True,
0068B,Bosham,England,False,
0068C,Itchenor,England,True,
0068D,Dell Quay,England,False,
0069,Selsey Bill,England,True,
0070,Nab Tower,England,True,
0072,Pagham,England,True,
0073,Bognor Regis,England,True,
0074,Littlehampton,England,True,
0074B,Arundel,England,False,
0075,Worthing,England,True,
0081,SHOREHAM,England,True,
0082,Brighton Marina,England,True,
0083,NEWHAVEN,England,True,
0084,Eastbourne,England,True,
0084A,Sovereign Harbour,England,True,
0085,Hastings,England,True,
0086,Rye (Approaches),England,False,
0086A,Rye (Harbour),England,False,Dries out except for river water
0087,Dungeness,England,True,
0088,Folkestone,England,True,
0089,DOVER,England,True,
0098,Deal,England,True,
0099,Richborough,England,True,
0102,RAMSGATE,England,True,
0102A,Broadstairs,England,True,
0103,MARGATE,England,True,
0104,Herne Bay,England,True,
0105,Whitstable Approaches,England,True,
0106,Grovehurst Jetty,England,True,
0107,Faversham,England,False,
0108,SHEERNESS,England,True,
0108A,Bee Ness,England,True,
0108B,Bartlett Creek,England,False,
0108C,Darnett Ness,England,True,
0109,Chatham (Lock Approaches),England,True,
0109A,Upnor,England,True,
0109B,Rochester (Strood Pier),England,True,
0109C,Wouldham,England,True,
0109D,New Hythe,England,True,
0109E,Allington Lock,England,False,
0110,Southend-On-Sea,England,True,
0110A,CORYTON,England,True,
0111,TILBURY,England,True,
0111A,Gravesend,England,True,
0111B,Erith,England,True,
0112,NORTH WOOLWICH,England,True,
0113,LONDON BRIDGE (TOWER PIER),England,True,
0113A,Chelsea Bridge,England,True,
0114,Albert Bridge,England,True,
0115,Hammersmith Bridge,England,True,
0115A,Kew Bridge,England,True,
0116,Richmond Lock,England,True,
0116A,Shivering Sand,England,True,
0117,S.E. Long Sand,England,True,ML inferred
0121,Whitaker Beacon,England,True,ML inferred
0121A,Holliwell Point,England,True,
0121B,Rochford,England,False,Dries out except for river water
0122,BURNHAM-ON-CROUCH,England,True,
0122A,North Fambridge,England,True,
0122B,Hullbridge,England,True,
0122C,Battlesbridge,England,False,Dries out except for river water
0123,Bradwell Waterside,England,True,
0123A,Osea Island,England,True,
0123B,Maldon,England,False,
0124,West Mersea,England,True,ML inferred
0126,Brightlingsea,England,True,
0127,Colchester,England,False,Dries out except for river water
0128,Clacton-On-Sea,England,True,
0129,WALTON-ON-THE-NAZE,England,True,
0129A,Bramble Creek,England,True,
0130,Sunk Head,England,True,
0131,HARWICH,England,True,
0132,Mistley,England,False,MLWS - The tide does not normally fall below this level
0133,Ipswich,England,True,
0133A,FELIXSTOWE PIER,England,True,
0134,Woodbridge Haven,England,True,
0134A,Woodbridge,England,True,
0135,Bawdsey,England,True,
0136,Orford Haven Bar,England,True,
0136A,Orford Quay,England,True,"ML inferred
Data approximate"
0136B,Slaughden Quay,England,True,
0136C,Iken Cliffs,England,True,"ML inferred
Data approximate"
0137,Orford Ness,England,True,
0139,Aldeburgh,England,True,
0139A,Minsmere Sluice,England,True,
0140,Southwold,England,True,
0141,LOWESTOFT,England,True,
0142,GREAT YARMOUTH (GORLESTON-ON-SEA),England,True,
0142A,Great Yarmouth (Britannia Pier),England,True,
0143,Caister-On-Sea,England,True,
0144,Winterton-On-Sea,England,True,
0154,Cromer,England,True,
0155,Blakeney Bar,England,False,
0155A,Blakeney,England,False,
0157,Wells Bar,England,False,
0157A,Wells,England,True,The tide does not normally fall below Chart Datum
0158,Burnham (Overy Staithe),England,False,
0161,Hunstanton,England,True,
0161A,West Stones,England,True,ML inferred
0162,King's Lynn,England,True,MLWS - The tide does not normally fall below this level
0163,Outer Westmark Knock,England,True,
0163A,Wisbech Cut,England,False,
0164,Port Sutton Bridge,England,True,
0164A,Wisbech,England,False,Dries out except for river water
0164B,Lawyer's Creek,England,False,
0164C,Fosdyke Bridge,England,True,MLWS - The tide does not normally fall below this level
0165,Tabs Head,England,True,
0166,BOSTON,England,True,
0167,Skegness,England,True,
0168,Inner Dowsing Light,England,True,ML inferred
0171,SPURN HEAD,England,True,
0171A,Bull Sand Fort,England,True,
0171B,Sunk Dredged Channel,England,True,
0172,GRIMSBY,England,True,
0172A,HUMBER SEA TERMINAL,England,True,
0173,IMMINGHAM,England,True,
0174,HULL (KING GEORGE DOCK),England,True,
0174A,Hull (Alexandra Dock),England,True,
0175,HULL (ALBERT DOCK),England,True,
0176,Humber Bridge,England,True,
0176A,Brough,England,True,
0177,Burton Stather,England,True,Dries out except for river water
0177A,FLIXBOROUGH WHARF,England,True,Dries out except for river water
0178,Keadby,England,True,Dries out except for river water
0178A,Owston Ferry,England,False,Dries out except for river water
0179,Blacktoft,England,True,
0180,GOOLE,England,True,
0181,Bridlington,England,True,
0182,Filey Bay,England,True,
0183,Scarborough,England,True,
0184,Whitby,England,True,
0185,RIVER TEES ENTRANCE,England,True,
0186,Middlesbrough (Dock Entrance),England,True,
0187,Tees (Newport) Bridge,England,True,
0188,Hartlepool,England,True,
0189,Seaham,England,True,
0190,SUNDERLAND,England,True,
0202,RIVER TYNE (NORTH SHIELDS),England,True,
0203,Newcastle-Upon-Tyne,England,True,
0204,BLYTH,England,True,
0205,Coquet Island,England,True,
0206,Amble,England,True,
0207,North Sunderland (Northumberland),England,True,
0208,Holy Island,England,True,
0209,Berwick,England,True,
0221,Eyemouth,Scotland,True,
0222,Dunbar,Scotland,True,
0223,Fidra,Scotland,True,
0224,Cockenzie,Scotland,False,
0225,LEITH,Scotland,True,
0226,Granton,Scotland,True,
0227,ROSYTH,Scotland,True,
0228,GRANGEMOUTH,Scotland,True,
0229,Kincardine,Scotland,True,
0229A,Alloa,Scotland,False,"ML inferred
Data approximate"
0229B,Stirling,Scotland,False,Data approximate
0230,Burntisland,Scotland,True,
0231,Kirkcaldy,Scotland,True,
0232,Methil,Scotland,True,
0233,Anstruther Easter,Scotland,True,
0235,River Tay Bar,Scotland,True,
0236,DUNDEE,Scotland,True,
0236A,Newburgh,Scotland,True,
0236B,Perth,Scotland,True,
0241,Arbroath,Scotland,True,
0242,MONTROSE,Scotland,True,
0243,Stonehaven,Scotland,True,
0244,ABERDEEN,Scotland,True,
0245,PETERHEAD,Scotland,True,
0246,FRASERBURGH,Scotland,True,
0247,Banff,Scotland,True,
0247A,Whitehills,Scotland,True,
0248,Buckie,Scotland,True,
0249,Lossiemouth,Scotland,True,
0250,Burghead,Scotland,True,
0253,Nairn,Scotland,True,Constants from 15 days' observations.
0254,WHITENESS HEAD,Scotland,True,
0255,Fortrose,Scotland,False,
0256,Inverness,Scotland,True,
0258,Cromarty,Scotland,True,
0259,INVERGORDON,Scotland,True,
0260,Dingwall (Cromarty Firth),Scotland,False,
0261,Portmahomack,Scotland,True,
0262,Meikle Ferry,Scotland,True,
0264,Golspie,Scotland,True,
0265,Helmsdale,Scotland,True,
0308,STORNOWAY,Scotland,True,
0309,Loch Shell,Scotland,True,Constants from 15 days' observations.
0310,"East Loch Tarbert, Outer Hebrides",Scotland,True,
0310A,Leverburgh,Scotland,True,
0310B,Bays Loch,Scotland,True,
0311,Lochmaddy,Scotland,True,
0311A,Loch Carnan,Scotland,True,ML inferred
0312,Loch Skipport,Scotland,True,
0313,Loch Boisdale,Scotland,True,
0314,Barra (North Bay),Scotland,True,
0314A,Castlebay,Scotland,True,
0316,Barra Head,Scotland,True,
0317,Shillay,Scotland,True,
0318,Balivanich,Scotland,True,
0318A,Scolpaig,Scotland,True,
0320,West Loch Tarbert,Scotland,True,
0321,Little Bernera,Scotland,True,
0321A,Carloway,Scotland,True,
0323,Flannan Isles,Scotland,True,
0330,Loch Nedd,Scotland,True,
0332,Loch Inver,Scotland,True,
0333,Tanera Mor,Scotland,True,
0334,ULLAPOOL,Scotland,True,
0336,Mellon Charles,Scotland,True,
0336A,Nato Jetty,Scotland,True,
0337,Gairloch,Scotland,True,
0338,Shieldaig,Scotland,True,
0338A,Applecross,Scotland,True,
0339,Plockton,Scotland,True,
0340,Loch A' Bhraige,Scotland,True,Constants from 15 days' observations.
0341,Broadford Bay,Scotland,True,
0342,Portree,Scotland,True,
0343,Loch Snizort (Uig Bay),Scotland,True,
0344,Loch Dunvegan,Scotland,True,
0345,Loch Harport,Scotland,True,
0346,Camus Nan Gall,Scotland,False,
0349,Kyle Of Lochalsh,Scotland,True,
0349A,Dornie Bridge,Scotland,True,Constants from 15 days' observations.
0351,Glenelg Bay,Scotland,True,
0352,Loch Hourn,Scotland,True,Constants from 15 days' observations.
0353,Inverie Bay,Scotland,True,
0353A,Mallaig,Scotland,True,
0353B,Loch Scresort,Scotland,True,
0354,Bay Of Laig,Scotland,True,
0354A,Galmisdale Pier,Scotland,True,
0355,Loch Moidart,Scotland,True,
0356,Loch Eatharna,Scotland,False,
0357,Gott Bay,Scotland,True,
0359,Carsaig Bay (Mull),Scotland,True,
0360,Iona,Scotland,True,
0361,Bunessan,Scotland,True,
0362,Sound Of Ulva,Scotland,True,
0363,Salen,Scotland,True,
0364,Tobermory,Scotland,True,
0364A,Salen (Sound Of Mull),Scotland,True,
0365,Loch Aline,Scotland,False,
0365A,Craignure,Scotland,True,
0367,Corran,Scotland,True,
0368,Corpach,Scotland,True,
0368A,Loch Eil Head,Scotland,False,
0369,Loch Leven Head,Scotland,False,
0370,Port Appin,Scotland,True,
0370A,Barcaldine Pier,Scotland,True,
0370B,Loch Creran Head,Scotland,True,
0371,Dunstaffnage Bay,Scotland,True,
0371A,Connel,Scotland,True,
0371B,Ardchattan Point,Scotland,True,
0371C,Bonawe,Scotland,True,ML inferred
0371D,Rubha Na Creige,Scotland,True,
0372,OBAN,Scotland,True,
0373,Seil Sound,Scotland,True,
0374,Scalasaig,Scotland,True,
0375,Glengarrisdale Bay,Scotland,True,
0377,Rubh' A' Mhail,Scotland,True,
0378,Ardnave Point,Scotland,True,
0379,Orsay,Scotland,True,Constants from 15 days' observations.
0380,Bruichladdich,Scotland,True,
0381,Port Ellen,Scotland,True,
0382,Port Askaig,Scotland,True,
0383,Craighouse,Scotland,True,
0383A,Loch Melfort,Scotland,True,ML inferred
0384,Loch Beag,Scotland,True,
0387,Carsaig Bay,Scotland,True,
0389,Sound Of Gigha,Scotland,True,
0390,Machrihanish,Scotland,False,Mean range 0.5m
0391,Southend (Kintyre),Scotland,True,
0393,CAMPBELTOWN,Scotland,True,
0393A,Carradale,Scotland,True,
0393B,Loch Ranza,Scotland,True,
0394,"East Loch Tarbert, Loch Fyne",Scotland,True,
0395,Inveraray,Scotland,True,
0396,Rubha A' Bhodaich,Scotland,True,
0396A,Tighnabruaich,Scotland,True,
0398,MILLPORT,Scotland,True,
0399,Rothesay Bay,Scotland,True,
0399A,Wemyss Bay,Scotland,True,
0399B,COULPORT,Scotland,True,
0399C,Lochgoilhead,Scotland,True,
0401,Arrochar,Scotland,True,
0402,Rosneath,Scotland,True,
0402A,Rhu Marina,Scotland,True,
0402B,Faslane,Scotland,True,
0402C,Garelochhead,Scotland,True,
0403,Helensburgh,Scotland,True,
0404,GREENOCK,Scotland,True,
0405,Port Glasgow,Scotland,True,
0406,Bowling,Scotland,True,
0406A,Clydebank (Rothesay Dock),Scotland,True,
0407,GLASGOW,Scotland,True,
0408,Brodick Bay,Scotland,True,
0409,Lamlash,Scotland,False,
0410,Ardrossan,Scotland,True,
0411,Irvine,Scotland,True,
0412,Troon,Scotland,True,
0413,Ayr,Scotland,True,
0414,Girvan,Scotland,True,
0414A,STRANRAER,Scotland,True,
0415,Portpatrick,Scotland,True,
0419,Drummore,Scotland,True,
0420,Luce Bay (Offshore Platform),Scotland,True,
0420A,Port William,Scotland,False,
0421,Isle Of Whithorn,Scotland,True,
0422,Garlieston,Scotland,False,
0422A,Kirkcudbright Bay,Scotland,True,
0424,Hestan Island,Scotland,True,Constants from 15 days' observations.
0425,Southerness Point,Scotland,False,
0426,Annan Waterfoot,Scotland,False,The tide does not normally fall below Chart Datum
0430,Torduff Point,Scotland,False,The tide does not normally fall below Chart Datum
0431,Redkirk,Scotland,False,The tide does not normally fall below Chart Datum
0432,Silloth,England,True,
0433,Maryport,England,True,
0434,Workington,England,True,
0435,Whitehaven,England,True,
0436,Tarn Point,England,True,
0437,Duddon Bar,England,True,
0439,BARROW (RAMSDEN DOCK),England,True,
0439A,Roa Island,England,True,
0439B,Haws Point,England,True,
0439C,Halfway Shoal,England,True,
0440,Ulverston,England,False,
0440A,Arnside,England,False,
0440B,Morecambe,England,True,
0441,Heysham,England,True,
0442,Glasson Dock,England,False,
0442A,Lancaster,England,False,Dries out except for river water
0443,Wyre Lighthouse,England,False,
0444,Fleetwood,England,True,
0445,Blackpool,England,True,
0446,Preston,England,True,
0447,Southport,England,False,
0448,Formby,England,True,
0451,LIVERPOOL (GLADSTONE DOCK),England,True,
0452,Seacombe (Alfred Dock),England,True,
0452A,Garston,England,True,
0453,EASTHAM,England,True,
0455,Hale Head,England,False,
0456,Widnes,England,True,
0456A,Fiddler's Ferry,England,True,
0461,Hilbre Island,England,True,
0462,Chester,England,False,Dries out except for river water
0463,Connah's Quay,Wales,False,Dries out except for river water
0464,MOSTYN DOCKS,Wales,True,
0470,Colwyn Bay,Wales,False,
0471,Llandudno,Wales,True,
0471A,Conwy,Wales,True,
0472,Beaumaris,Wales,True,
0473,Menai Bridge,Wales,True,
0474,Port Dinorwic,Wales,True,
0475,Caernarfon,Wales,True,
0475A,Fort Belan,Wales,True,
0476,Trwyn Dinmor,Wales,True,
0476A,Moelfre,Wales,True,
0477,Amlwch,Wales,True,
0477A,Cemaes Bay,Wales,True,
0478,HOLYHEAD,Wales,True,
0479,Trearddur Bay,Wales,True,
0479A,Porth Trecastell,Wales,True,Constants from 15 days' observations.
0480,Llanddwyn Island,Wales,True,
0480A,Trefor,Wales,True,
0481,Porth Dinllaen,Wales,True,
0481A,Porth Ysgaden,Wales,True,ML inferred
0482,Bardsey Island,Wales,True,
0482A,Aberdaron,Wales,True,ML inferred
0482B,St. Tudwal's Roads,Wales,True,
0483,Pwllheli,Wales,True,
0483A,Criccieth,Wales,True,
0484,Porthmadog,Wales,False,
0485,Barmouth,Wales,True,
0486,Aberdovey,Wales,True,
0487,Aberystwyth,Wales,True,
0488,New Quay,Wales,True,
0488A,Aberporth,Wales,True,
0489,Port Cardigan,Wales,True,Constants from 15 days' observations.
0489A,Cardigan (Town),Wales,False,
0490,FISHGUARD,Wales,True,
0491,Porthgain,Wales,True,
0492,Ramsey Sound,Wales,True,
0492A,Solva,Wales,True,Constants from 15 days' observations.
0492B,Little Haven,Wales,True,Constants from 15 days' observations.
0493,Martin's Haven,Wales,True,
0494,Skomer Island,Wales,True,
0495,Dale Roads,Wales,True,
0496,MILFORD HAVEN,Wales,True,
0497,Neyland,Wales,True,
0498,Black Tar,Wales,True,
0499,Haverfordwest,Wales,False,Dries out except for river water
0501,Stackpole Quay,Wales,True,
0502,Tenby,Wales,True,
0504,Ferryside,Wales,True,
0504A,Carmarthen,Wales,False,Dries out except for river water
0505,Burry Port,Wales,True,
0505A,Llanelli,Wales,False,
0508,Mumbles,Wales,True,
0509,SWANSEA,Wales,True,
0509A,River Neath Entrance,Wales,False,Dries out except for river water
0510,PORT TALBOT,Wales,True,
0512,Porthcawl,Wales,True,
0513,Barry,Wales,True,
0513A,Flat Holm,Wales,True,ML inferred
0513B,Steep Holm,Wales,True,ML inferred
0514,CARDIFF,Wales,True,
0515,NEWPORT,Wales,True,
0516,Chepstow,Wales,False,
0517,Sudbrook,Wales,True,
0518,Beachley (Aust),England,True,
0519,Inward Rocks,England,True,
0520,Narlwood Rocks,England,True,
0521,White House,England,True,
0522,Berkeley,England,True,
0522A,Sharpness Dock,England,True,
0522B,Wellhouse Rock,England,True,
0522C,Epney,England,False,
0522D,Minsterworth,England,False,
0522E,Llanthony,England,False,
0523,PORT OF BRISTOL (AVONMOUTH),England,True,
0523A,Shirehampton,England,True,
0523B,Sea Mills,England,True,
0524,Cumberland Basin Entrance,England,False,Dries out except for river water
0524A,Portishead,England,False,
0525,Clevedon,England,True,ML inferred
0525A,St. Thomas's Head,England,True,ML inferred
0526,English And Welsh Grounds,England,True,"ML inferred
Data approximate"
0527,Weston-Super-Mare,England,True,ML inferred
0528,Burnham-On-Sea,England,True,MLWS - The tide does not normally fall below this level
0529,Bridgwater,England,False,Dries out except for river water
0530,Hinkley Point,England,True,
0531,Watchet,England,True,
0532,Minehead,England,True,
0533,Porlock Bay,England,True,Constants from 15 days' observations.
0534,Lynmouth,England,False,
0535,Ilfracombe,England,True,
0536,Appledore,England,True,
0537,Yelland Marsh,England,True,
0538,Fremington,England,True,
0539,Barnstaple,England,True,
0540,Bideford,England,True,
0541,Clovelly,England,True,
0542,Lundy,England,True,
0543,Bude,England,False,
0544,Boscastle,England,True,Constants from 15 days' observations.
0544A,Port Isaac,England,True,
0545,Padstow,England,True,
0545A,Wadebridge,England,True,
0546,NEWQUAY,England,True,
0546A,Perranporth,England,True,
0547,St. Ives,England,True,
0547A,Cape Cornwall,England,True,
0548,Sennen Cove,England,False,
0627,Cranfield Point,Northern Ireland,True,
0628,WARRENPOINT,Northern Ireland,True,
0628A,Newry (Victoria Lock),Northern Ireland,False,Dries out except for river water
0629,Kilkeel,Northern Ireland,True,
0630,Newcastle (N.Ireland),Northern Ireland,True,
0630A,Killough Harbour,Northern Ireland,False,
0631,Ardglass,Northern Ireland,True,
0632,Killard Point,Northern Ireland,True,
0633,Strangford,Northern Ireland,True,
0633A,Quoile Barrier,Northern Ireland,True,
0634,Killyleagh,Northern Ireland,False,
0635,South Rock,Northern Ireland,True,
0636,Portavogie,Northern Ireland,True,
0637,Donaghadee,Northern Ireland,True,
0637A,Bangor,Northern Ireland,True,
0638,BELFAST,Northern Ireland,True,
0639,Carrickfergus,Northern Ireland,True,
0641,LARNE,Northern Ireland,True,
0643,Red Bay,Northern Ireland,True,
0644,Cushendun,Northern Ireland,True,
0651,Ballycastle Bay,Northern Ireland,True,
0652,Portrush,Northern Ireland,True,
0653,Coleraine,Northern Ireland,True,
0657,Culmore Point,Northern Ireland,True,
0658,RIVER FOYLE (LISAHALLY),Northern Ireland,True,
0659,Londonderry,Northern Ireland,True,
0274,Loth,Scotland,True,
0273B,Whitehall,Scotland,True,
0273A,Egilsay,Scotland,True,
0273,KIRKWALL,Scotland,True,
0272,Deer Sound,Scotland,True,
0271,Burray Ness,Scotland,True,
0270,Muckle Skerry,Scotland,True,
0268,Duncansby Head,Scotland,False,Data approximate
0267,WICK,Scotland,True,
0275,Kettletoft Pier,Scotland,True,
0276,Rapness,Scotland,True,
0277,Pierowall,Scotland,True,
0279,Tingwall,Scotland,True,
0280,Stromness,Scotland,True,
0281,ST. MARY'S (SCAPA FLOW),Scotland,True,
0282,Widewall Bay,Scotland,True,
0282A,Bur Wick,Scotland,True,
0285,Fair Isle,Scotland,True,
0285A,Sumburgh (Grutness Voe),Scotland,True,
0287,LERWICK,Scotland,True,
0288,Dury Voe,Scotland,True,
0289,Out Skerries,Scotland,True,
0289A,Toft Pier,Scotland,True,
0290,Burra Voe (Yell Sound),Scotland,True,
0290A,Mid Yell,Scotland,True,
0290B,Baltasound Pier,Scotland,True,
0291,Burra Firth,Scotland,True,
0292,Cullivoe,Scotland,True,
0293,SULLOM VOE,Scotland,True,
0293A,Esha Ness (Hamna Voe),Scotland,True,
0294,Hillswick,Scotland,True,
0294A,West Burra Firth,Scotland,True,
0295,Scalloway,Scotland,True,
0296,Bay Of Quendale,Scotland,True,
0296A,Foula,Scotland,True,
0297,Stroma,Scotland,True,Data approximate
0297A,Gills Bay,Scotland,True,
0298,SCRABSTER,Scotland,True,
0299,Sule Skerry,Scotland,True,
0300,Portnancon,Scotland,True,
0301,Kyle Of Durness,Scotland,True,
0304,Rona,Scotland,True,
0327,Kinlochbervie,Scotland,True,
0328,Loch Laxford,Scotland,True,"Constants from 15 days' observations.
ML inferred"
0329,Badcall Bay,Scotland,True,
